UTLA code,Local Authority,EMPLOY,UNEMPLOY,ECO_INACT,SMOK,ALCOHOL,PHY_ACT,DAY5,OBESE
E08000032,Bradford,65.4,9.6,27.3,20.9,79.64,55.9,49.4,26.2
E08000033,Calderdale,75.9,4.7,20.4,18.7,59.62,56.5,52.4,25
E08000034,Kirklees,70.3,4.7,26.2,16.4,66.29,54.8,46.8,25.5
E08000035,Leeds,74.9,5.7,20.4,18.5,61.52,56.3,51.9,24.4
E08000036,Wakefield,70.1,7.3,24.2,21.9,88.54,57.3,42.7,30.1
E08000037,Gateshead,73.2,6.4,21.6,18.3,92.66,46.3,48.5,28.5
E09000002,Barking and Dagenham,65.9,10.5,26.5,18.6,52.85,46,43.2,31.5
E09000003,Barnet,69.1,8.3,24.4,14.4,48.84,59.5,56.7,17.6
E09000004,Bexley,75.2,7.5,18.7,14.1,46.86,53.9,49.4,25.9
E09000005,Brent,69.2,7.5,25.1,12.3,51.94,49.2,41.2,21
E09000006,Bromley,75.6,5.2,20.1,14.2,50.28,62.9,53.8,20.8
E09000007,Camden,69.1,4,28,16,57.21,64,52.5,15.2
E09000008,Croydon,75.5,4.1,21.2,17.9,45.52,60.6,51.1,20.9
E09000009,Ealing,72.9,5.7,22.6,15.2,55.91,54.7,47.4,22.7
E09000010,Enfield,72.9,3.8,24.5,16.8,58.54,55.5,45.1,23.9
E09000011,Greenwich,72.4,8,21.3,14.2,50.4,51.5,47.2,26.3
E09000012,Hackney,69.2,5.6,26.8,20.6,61.94,53.8,46.7,20.4
E09000013,Hammersmith and Fulham,77.7,4.6,18.5,18.6,54.78,61,50.4,16.3
E09000014,Haringey,71.5,5.7,24,21.9,63.22,58.2,57.5,17.7
E09000015,Harrow,74,4.5,22.4,13.2,47.29,55,51.6,19.3
E09000016,Havering,76.4,5.2,19.4,17.3,42.97,55.4,42.1,24.8
E09000017,Hillingdon,73.4,5.7,22.2,16.9,55.28,51.5,45.7,21.9
E09000018,Hounslow,74.3,4.2,22.3,14.1,48.23,55,48.5,19.8
E09000019,Islington,72.9,4.4,23.7,17.6,75.33,60.3,57.9,16.2
E09000020,Kensington and Chelsea,68.3,4.1,28.5,18.8,42.09,67.1,52.6,13.7
E09000021,Kingston upon Thames,74.2,4.4,22.2,16.2,42.99,66.1,56.7,17.9
E09000022,Lambeth,78.6,5.9,16.3,21.2,64.6,66.1,48.7,14.9
E09000023,Lewisham,76,5.7,19.4,16.6,64.36,58.8,44,23.8
E09000024,Merton,78.8,4.5,17.5,14.7,51.72,58.7,55.1,19.5
E09000025,Newham,66.3,8.9,27.3,20,58.7,44.8,41.8,25.3
E09000026,Redbridge,68.4,7.8,25.6,11.5,43.98,57.5,47.1,24
E09000027,Richmond upon Thames,79.6,3.7,17.2,11.9,43.01,68.5,59.4,13.9
E09000028,Southwark,74.4,7.6,19.3,15.9,59.38,59.7,45.6,20.5
E09000029,Sutton,78.1,5.5,17.4,14.5,56.71,58.8,48.9,20.5
E09000030,Tower Hamlets,70.4,8.9,22.6,20,55.16,57.5,44.9,14.9
E09000031,Waltham Forest,73.1,5.3,22.8,17.6,49.39,58.1,47.2,23.9
E09000032,Wandsworth,78.7,5.8,16.7,13.7,52.82,69.3,58.1,15
E09000033,Westminster,65.9,8.4,27.7,14.7,49.39,57.6,50.3,16.5
E10000002,Buckinghamshire,79.6,3.8,17.3,11,50.23,62.8,59.9,20.1
E10000003,Cambridgeshire,80.4,3.4,16.6,16.4,61.09,58.6,58.1,23.1
E10000006,Cumbria,77.9,3.7,19,15.6,72.84,55.9,54.6,24.3
E10000007,Derbyshire,76.2,3.5,20.9,17.9,70.53,55.6,53.3,27.2
E10000008,Devon,78.2,3.1,19.1,12.2,63.05,60.7,61.5,22
E10000009,Dorset,78.6,3.5,18.5,15.2,51.45,58.2,59.7,23.1
E10000011,East Sussex,73.1,4.2,23.6,18,57.11,58.7,57.6,23.4
E10000012,Essex,76.8,4,19.8,17.5,56.42,57.5,52.5,24.7
E10000013,Gloucestershire,79.7,3.6,17.2,14.6,66.86,61.5,57.3,23.8
E10000014,Hampshire,81,3.7,15.8,14.8,47.2,60.9,58.5,24
E10000015,Hertfordshire,80.6,3,16.9,15.5,50.93,58.7,55.3,22.2
E10000016,Kent,73.7,5.3,22,17,52.6,59,53.6,24.7
E10000017,Lancashire,73.6,3.5,23.7,18.3,68.07,52.5,50,25
E10000018,Leicestershire,76.5,3.1,21,17.4,59.59,59.5,55.6,24
E10000019,Lincolnshire,74.3,5.5,21.2,17.2,58.6,55.7,54.3,28
E10000020,Norfolk,75.1,4.3,21.6,15.6,68.23,56.5,59.8,25.7
E10000021,Northamptonshire,78.9,3.2,18.4,18.9,68.76,56.8,51,26.3
E10000023,North Yorkshire,80.3,2,18.1,13.3,62.17,58.9,57.9,23.6
E10000024,Nottinghamshire,73.4,3.5,23.8,15.7,65.39,59.5,56.2,26.6
E10000025,Oxfordshire,80.5,3.4,16.5,15.5,57.23,60.9,58,20
E10000027,Somerset,78.2,3.6,18.8,16.1,62.01,58.8,60.1,25.5
E10000028,Staffordshire,77.1,4.2,19.5,13.6,69.21,57.6,52.7,26.4
E10000029,Suffolk,76.5,4,20.1,16.1,56.36,57.8,57.4,24.4
E10000030,Surrey,76.5,3.1,20.9,14,48.38,62,57,20.5
E10000031,Warwickshire,78.6,2,19.7,12.1,59.03,61.2,55.2,24.3
E10000032,West Sussex,78.7,2.6,19.1,14.6,55.65,60.2,57.4,22.8
E10000034,Worcestershire,76.1,3.6,21,15.8,64.12,58.3,55.7,24.3
